0	Packaging	a	Damaged very poor
1	Packaging	a	Superb Packing like gift box and Superb Quality i loved it ....
2	Product	a	Nice
3	Packaging	a	good and nice packaging
4	Delivery	a	fast delivery and good product
5	Price	a	awesome
6	Price	a	does good work.. worth money
7	Packaging	a	No doubt product is very good but not packaging
8	Delivery	a	I ordered for oily skin bt I received face wash for sensitive skin.... very disappointed....
9	Product	a	The product has a lot of ayurvedic ingredients.natural ingredients and good smell is a best part of the product that's why i decided to try this product because grays which are such a common problem these days . i truly recommend this product.
10	Packaging	a	nice good packing
11	Delivery	a	Very good and thnks to delivery in time..
12	Price	a	Gud deal
13	Packaging	a	seal open and damage product
14	Packaging	a	nice product with good Packaging too
15	Delivery	a	Product is missing
16	Price	a	Value for money
17	Packaging	a	They only give me a one packet the description show that 2x10g,they only give me one packet and also this item is not replaceable.
18	Delivery	a	good and best delivery
19	Product	a	nice deodorant
20	Delivery	a	Got recently manufactured product and very fast delivery
21	Packaging	a	the serum is ok....but the cap of serum is leaked...dissatisfied after receiving the product....
22	Price	a	Thank you Flipkart
23	Delivery	a	appears nice early delivery thanks
24	Product	a	Nice
25	Product	a	Super
26	Delivery	a	I order for Classic but delivered Extra light. Wrong item delivered.
27	Packaging	a	quantity is low
28	Packaging	a	Cream is waste of outof packing .so bad .
29	Product	a	Nice fragrance.
30	Product	a	super
31	Product	a	great product!!!
32	Delivery	a	Nice fragrance for both(product and delivery boy)
33	Packaging	a	Damaged product received
34	Price	a	nice discount
35	Delivery	a	delivery very fast
36	Packaging	a	Leakage found in packet
37	Packaging	a	The product has a defective pump
38	Delivery	a	Dont buy..i got only quarter tube around 25 gm approx...it was already used.....waste of money
39	Delivery	a	nice. delivery was on time.
40	Packaging	a	This is fake products
41	Packaging	a	Nice gift pack...its more valuable for kids
42	Delivery	a	Got recently manufactured product and very fast delivery
43	Packaging	a	Delivered the damaged one. Fully spilled in the container. Not useful for usage.
44	Product	a	good
45	Delivery	a	Bought 1st time. worth my of money.
46	Delivery	a	satisfied with product & delivery in time
47	Delivery	a	good product and fast delivery
48	Delivery	a	nice. delivery was on time.
49	Product	a	good serum
50	Price	a	Best in price
51	Delivery	a	this is the only oil dat our grandmother olwyz use.. so quick delivery, nd got in 170 onlyyy
52	Packaging	a	I m very disappointed with packing because when I open it ,the jar cap was broken.please solve the problem
53	Price	a	Awsm..tastes too good and got the best deal toh paisa vasul
54	Price	a	Good rate
55	Packaging	a	Spray system not working properly
56	Price	a	Value for money
57	Packaging	a	good packaging ... product delivered... thank you flipkart
58	Delivery	a	nice product with nice fragrance and delivery is so fast by Flipkart
59	Price	a	Genuine product. I bought it for 178rs.
60	Delivery	a	it's really good. working well for my hair. good delivery by flipkart
61	Price	a	Cheap and best.
62	Product	a	super
63	Product	a	Bekar
64	Price	a	nice i m happy
65	Delivery	a	nice. delivery was on time.
66	Packaging	a	Nice Cream by Nivea #cloudtail packing is good......
67	Product	a	Usefull
68	Price	a	value for money . decnt smell
69	Product	a	super
70	Price	a	awesome.. make my skin so soft..
71	Packaging	a	The product was shoing in amazan 4+1 liter , that means we get 5 liter but we get nly four packet . It not expected .
72	Product	a	Nice
73	Product	a	awesome....i like it.nice product
74	Product	a	Like it
75	Price	a	Value for money
76	Packaging	a	product is excellent but packaging was horrible
77	Packaging	a	Productvis excellent. But product is used and seal is broken.
78	Product	a	Good
79	Price	a	Good combo
80	Price	a	Very good product and cheap price and timely deliver.
81	Packaging	a	The lotion bottle was broken at the time of delivery...so need to get it replaced.
82	Price	a	Good test
83	Price	a	Value for money.
84	Packaging	a	nice deo and packaging also
85	Product	a	very nice product
86	Packaging	a	When I received the package, the seal of 1 of the bottle was broken and more then half quantity of the bottle was already lost. I would like to replace the bottles.
87	Packaging	a	soo nice packing...love for flipkart.
88	Delivery	a	Suggested by mohini yadav And best Amazon service by delivered pakeg
89	Delivery	a	Product is missing
90	Delivery	a	Nice fast delivery
91	Packaging	a	Received without cap and already used.
92	Price	a	value for money...must buy....i got this 178rs.
93	Product	a	Good Product
94	Price	a	wealth of money and nice
95	Delivery	a	Just yesterday received the product, checked the product on the next day, hair Dryer isn't working at all...upon that no return policy. Not worth of spndng amount to this offer at all... Delivers the product which can't be used....
96	Delivery	a	The product was open and oil was leaking scent was not same . Delivered product was appearing fake copy of Livon. Can't change so lost money on this order.
97	Delivery	a	Nice fast delivery
98	Packaging	a	Parcel was opened Item missing in the parcel.
99	Product	a	excellent
100	Price	a	I like the freshness and menthol
101	Price	a	Worth fot money
102	Product	a	valuable
103	Packaging	a	the product packing was bad.. lotion leaked out. the lotion is greecy also
104	Product	a	Nice product.........
105	Product	a	Not that much good
106	Price	a	Value for money
107	Price	a	very good offer
108	Price	a	Value for money
109	Price	a	value for money
110	Packaging	a	Cap was in broken condition.
111	Price	a	Very good product. Price is very less than market
112	Product	a	Nice
113	Product	a	Not at all good serum , doesn't make hair smooth nor soft
114	Product	a	Off course livon is the best serum I m using dat since long
115	Product	a	nice
116	Price	a	Its good
117	Delivery	a	Good products
118	Product	a	Nice Hair oil
119	Price	a	Good deal
120	Delivery	a	Delivery boy took away extra money, first time worst experience.
121	Price	a	Good Product with good packing
122	Price	a	so good @ 99
123	Price	a	Value for money
124	Packaging	a	Product received with pump lock open and content spilled out into the box. Disappointed with packing.
125	Packaging	a	leakage product received
126	Price	a	Cheap and best
127	Delivery	a	Good quality nd nice delivery
128	Delivery	a	u will happy with this product .. pure and fast delivery..
129	Delivery	a	very good product... thanks to Flipkart for a very fast delivery...
130	Packaging	a	Seal was missing, already broken when received.
131	Delivery	a	I order for Classic but delivered Extra light. Wrong item delivered.
